cause_error,fail_with_error
get_data,get_contract_data
get_data,has_contract_data
get_data,string_new_from_linear_memory
hello,string_new_from_linear_memory
hello,vec_new_from_linear_memory
set_data,contract_event
set_data,put_contract_data
set_data,string_new_from_linear_memory
set_data,string_new_from_linear_memory
set_data,symbol_new_from_linear_memory
set_data,vec_new_from_linear_memory
test_math,obj_from_i128_pieces
test_math,obj_to_i64
