wasm_hash,instance_count,instance_percent,rssdkver,rsver,source_repo,home_domain,error_cases,contract_functions,contract_events
"825fc7d7bbae72607000a78126464c817c47ff9acf43e7d6faa96334efbc6e4d",2,0.0017,"25.3.0#dcbea44513feb7734af6b6c4aced2c4a7a2715d0","1.95.0","github:AquaToken/soroban-amm","","AnotherActionActive,NoActionActive,ActionNotReadyYet","version,total_supply,__constructor,apply_upgrade,contract_name,commit_upgrade,revert_upgrade,set_total_supply,get_emergency_mode,get_future_address,set_emergency_mode,get_privileged_addrs,set_privileged_addrs,apply_transfer_ownership,commit_transfer_ownership,revert_transfer_ownership",""
"82fffa61fd1e78e7537b3405a8ef339e9d013a8435162dc92ee9a802793b8d26",1,0.0008,"20.5.0#9e2c3022b4355b224a7a814e13ba51761eeb14bb","1.84.1","","","AlreadyInitialized,NotInitialized,NotAuthorized,EscrowNotMatured,InvalidAmount,ReceiverNotFound,TooManyReceivers","initialize,release,get_receiver_state,get_all_receivers",""
"830f160eb13886e348a5687835313cdc041ee398931ac53259aab7031e585adf",3,0.0025,"20.3.2#1d7f9bd8030f69070634bfb07394339824ceb399","1.74.1","","","AlreadyInitialized,Uninitialized,NoPriceFeed,Paused,NoReserveExistForAsset,NoActiveReserve,ReserveFrozen,ReservesMaxCapacityExceeded,NoPriceForAsset,ReserveAlreadyInitialized,InvalidAssetPrice,BaseAssetNotInitialized,InitialHealthNotInitialized,LiquidationOrderMustBeUnique,NotFungible,UserConfigInvalidIndex,NotEnoughAvailableUserBalance,UserConfigNotExists,MustHaveDebt,MustNotHaveDebt,BorrowingNotEnabled,BelowInitialHealth,BadPosition,GoodPosition,InvalidAmount,ValidateBorrowMathError,CalcAccountDataMathError,LiquidateMathError,MustNotBeInCollateralAsset,UtilizationCapExceeded,LiqCapExceeded,FlashLoanReceiverError,MathOverflowError,MustBeLtePercentageFactor,MustBeLtPercentageFactor,MustBeGtPercentageFactor,MustBePositive,AccruedRateMathError,CollateralCoeffMathError,DebtCoeffMathError","initialize,upgrade,version,allowance,approve,balance,spendable_balance,authorized,transfer,transfer_from,burn_from,clawback,set_authorized,mint,burn,decimals,name,symbol,total_supply,transfer_on_liquidation,transfer_underlying_to,underlying_asset,pool",""
"83585b55fa9db740e526bacd0097bbceda580c1ab72752ac10527d9a49307dd7",1,0.0008,"25.1.1#94c2a3b3a5ded6b9cf9cef0c207bf8804f3eb294","1.93.1","github:AquaToken/soroban-amm","","AnotherActionActive,NoActionActive,ActionNotReadyYet","swap,claim,deposit,version,get_info,get_pool,share_id,withdraw,get_plane,get_pools,pool_type,get_tokens,init_admin,remove_pool,get_reserves,swap_chained,apply_upgrade,contract_name,estimate_swap,get_liquidity,set_pool_hash,commit_upgrade,fill_liquidity,revert_upgrade,set_token_hash,get_user_reward,set_pools_plane,get_rewards_info,get_total_shares,set_reward_token,get_emergency_mode,get_future_address,get_rewards_config,init_standard_pool,set_emergency_mode,config_pool_rewards,get_total_liquidity,init_config_storage,get_privileged_addrs,init_stableswap_pool,set_privileged_addrs,config_global_rewards,get_tokens_for_reward,get_tokens_sets_count,set_rewards_gauge_hash,pool_gauge_switch_token,set_reward_boost_config,apply_transfer_ownership,get_liquidity_calculator,get_total_claimed_reward,pool_gauge_token_enabled,set_liquidity_calculator,set_stableswap_pool_hash,commit_transfer_ownership,get_protocol_fee_fraction,revert_transfer_ownership,set_protocol_fee_fraction,get_pools_for_tokens_range,pool_gauge_schedule_reward,configure_init_pool_payment,get_init_pool_payment_token,get_total_configured_reward,pool_gauge_get_min_duration,swap_chained_strict_receive,get_total_accumulated_reward,get_total_outstanding_reward,distribute_outstanding_reward,get_init_pool_payment_address,get_stable_pool_payment_amount,pool_gauge_get_min_daily_amount,get_standard_pool_payment_amount,pool_gauge_set_reward_thresholds",""
"835e707baa30ccaaf0fabd634365196e11d23464f1e64cf049f260f51bac1749",1,0.0008,"22.0.6#0c47dcfa187069d241f11fb082730f667b55e802","1.87.0","","","AnotherActionActive,NoActionActive,ActionNotReadyYet","__constructor,set_total_supply,total_supply,set_privileged_addrs,get_privileged_addrs,commit_transfer_ownership,apply_transfer_ownership,revert_transfer_ownership,get_future_address,version,commit_upgrade,apply_upgrade,revert_upgrade,set_emergency_mode,get_emergency_mode",""
"8387f754401c20c448e51e4ce5fdc097f6dfb4b439041ee17e9edca1d3c0e8ee",1,0.0008,"25.0.2#59a2e01a26f9330f8d516690911cb2ca87a6f1b3","1.93.0","","","NotInitialized,AlreadyInitialized,InvalidSession,BadAuth,InvalidProof,InvalidSeed","end,start,upgrade,set_house,initialize,set_attestor",""
"83dcc7b69e6c86ab24d7a63f8255da0f4bf2cd9043d039903d07ea38436f1fbd",1,0.0008,"25.0.2#59a2e01a26f9330f8d516690911cb2ca87a6f1b3","1.93.0","","","NotInitialized,AlreadyInitialized,InvalidSession,BadAuth,InvalidProof,InvalidSeed","end,start,upgrade,set_house,initialize,set_attestor",""
"83e66d8727055a6de7b1d70d5c267763be3cf0e0be0e25d843b5b88e39b98d4c",1,0.0008,"25.1.1#94c2a3b3a5ded6b9cf9cef0c207bf8804f3eb294","1.90.0","","","Unauthorized,Math_DivisionByZero,Math_NegativeInput,Calc_DivisionByZero,Calc_NegativeInput,Aborted,UnknownError","safe_div_with,safe_div_with_calc,error_panic",""
"8405d0b547da8bc9b7ddb6b140507555e8a14be13b170998548994f99e839d36",0,0.0000,"21.7.4#f67b4bf2d2de04d87d28225a99027fd40b7da914","1.81.0","","","NotInitialized,AlreadyInitialized,ProtocolDisabled,Unfeasible,Unauthorized,InvalidPath","init,enable_protocol,update_contract,strict_send",""
"842c5d41cf057b60d32511da67f739348c540175ff1a50a261d87fb1759b7c2e",1,0.0008,"23.0.1#510d3feb724c2b01d7e7ab7652f03b9f8efc3f35","1.93.0-nightly","","","AlreadyInitialized,Unauthorized,InvalidBootstrapAdmin,InvalidVenueStatus,VenueNotConfigured","init,venues,upgrade,governor,guardian,is_allowed,set_governor,set_guardian,venue_config,disable_venue,is_configured,last_wasm_hash,bootstrap_admin,is_auto_allowed,set_venue_status,set_bootstrap_admin,clear_bootstrap_admin,bootstrap_admin_active,bootstrap_admin_expires_at",""
