algorithm,wasms,total_entries,distinct_entries,distinct_hashes,colliding_hashes,colliding_entries,colliding_pairs,expected_colliding_pairs,wasms_with_internal_collision
sha256_trunc8,5061,156102,38478,38478,0,0,0,4.012952096272768e-11,0
xxhash64_seed0,5061,156102,38478,38478,0,0,0,4.012952096272768e-11,0
