spec_hash,count,functions
a3e058553c921b60b4bdd907ff24eec8adb0cfbd9d0c2cbb5352aed94adcc3ed,8,execute_route
ac5d49297eba0f38caa1993314f824ad6a9df81295a7e2bba30969ff0a4428da,8,resolution price prices base decimals assets lastprice initialize block unblock set_admin
c090b009d6dca33b4cb17ee86c75d778c2b51b1a898fb3dcfe04002f6742feb5,8,pause is_game unpause upgrade add_game end_game get_admin get_epoch is_paused set_admin get_config get_player start_game cycle_epoch remove_game __check_auth __constructor update_config select_faction get_epoch_player get_current_epoch claim_epoch_reward
e649af92bcd05d18f60d5420da000f6096181d7d5055f2652ee80bd0f13a7fdd,8,plant work harvest __constructor upgrade pause unpause remove_block __check_auth
ef126be1af18a25bf4fff48b595ed3f755a1ed3232f55e39b16386a2a5faf338,8,init enable_protocol update_contract strict_send strict_receive
ff9fbb44e2f53c752005967630e3e8a12100b1c3d257f8e1e9f503224204aa6d,8,initialize set_margin_manager get_pool get_admin get_margin_manager get_base_token get_quote_token get_position has_position open_long open_short close_long close_short make_supply_collateral_request make_borrow_request make_repay_request make_withdraw_collateral_request
1765c26ff30b0eb7f74a1e0019e1102d8e942049ff906fce976f30927b773c0c,7,burn mint name symbol approve balance upgrade version decimals transfer allowance burn_from initialize contract_name transfer_from get_future_address apply_transfer_ownership commit_transfer_ownership revert_transfer_ownership
4610f20aff78b27a803256a16bd9062e7a429d1cda6348a76caf3468ebe5fbeb,7,init upgrade set_plan orchestrate receive_flash_loan
48eeb2aa88104af2f8203b99f02158a4f9df9d750079dc7475a4a1150a1cf8ce,7,vote invoke propose version get_config get_proposal __constructor revoke_proposal
5490d3a3d42813022619e4c22d672449068b328571f41a82dec5ada793668299,7,init_admin set_pools_plane get_pools_plane get_liquidity version commit_upgrade apply_upgrade revert_upgrade set_emergency_mode get_emergency_mode commit_transfer_ownership apply_transfer_ownership revert_transfer_ownership get_future_address
60a886521edb4bb22380c1a35cdc608a3ccf335f7c4378128263aabb880639c1,7,init deposit withdraw_with_sig withdraw_with_account set_user_account swap_tokens_with_sig get_nonce get_balance upgrade
7bc27cf8f1385d6f641645b27570bbc95906d6e26c3f0c8ee7e3c301ac4fa3e2,7,version get_value set_value __constructor apply_upgrade contract_name commit_upgrade revert_upgrade get_emergency_mode get_future_address set_emergency_mode get_value_updated_at apply_transfer_ownership commit_transfer_ownership revert_transfer_ownership
7e9e5ac30f2216fd0fd6f5faed316f2d5983361a4203c3330cfa46ef65bb4767,7,add
9bc5f0e7b86182cfccacb681fd33cdfcbb8ac14ea42b890077a1c1f112753e37,7,admin balance exec_op withdraw set_admin blend_pool prepare_arb __constructor set_blend_pool has_pending_arb self_funded_arb
a12dd3a7fd3203a452eb34d91a9be20569d5e337a3384347068895c07f3e0c5a,7,verify
a63022564044669506e7522e18d0e28d530cf06d603f17156ede6907b1013a93,7,init_admin set_pools_plane get_pools_plane estimate_swap version upgrade
acba25512100f80b56fc3ccd14c65be55d94800cda77585c5f41a887e398f9be,7,run
